1,1,1,12.99,fulfilled,2023-09-12 22:12:37
1,8,2,2.98,fulfilled,2023-09-12 22:12:37
1,9,3,2.98,fulfilled,2023-09-12 22:12:37
1,10,4,3.98,fulfilled,2023-09-12 22:12:37
1,11,5,1.98,fulfilled,2023-09-12 22:12:37
1,12,6,1.98,fulfilled,2023-09-12 22:12:37
2,4,4,3.99,pending,
2,5,5,1.99,pending,
2,6,6,1.99,pending,
3,1,1,12.99,fulfilled,2023-09-12 22:12:47
3,2,2,2.99,fulfilled,2023-09-12 22:12:47
3,3,3,2.99,fulfilled,2023-09-12 22:12:47
4,4,4,3.99,pending,
4,5,5,1.99,pending,
4,6,6,1.99,pending,
5,1,1,12.99,fulfilled,2023-09-12 22:12:57
5,2,2,2.99,fulfilled,2023-09-12 22:12:57
5,3,3,2.99,fulfilled,2023-09-12 22:12:57
6,4,4,3.99,pending,
6,5,5,1.99,pending,
6,6,6,1.99,pending,
7,1,1,12.99,fulfilled,2023-09-12 22:12:17
7,2,2,2.99,fulfilled,2023-09-12 22:12:17
7,3,3,2.99,fulfilled,2023-09-12 22:12:17
8,4,4,3.99,pending,
8,5,5,1.99,pending,
8,6,6,1.99,pending,
"9","99","2","5.73","pending",
"9","62","2","4.23","pending",
"10","49","3","2.04","pending",
"10","157","2","10.33","pending",
"11","122","1","1.11","pending",
"11","174","1","2.19","pending",
"12","10","1","1.89","pending",
"12","139","1","10.50","pending",
"12","181","3","8.35","pending",
"12","134","2","3.27","pending",
"12","174","2","9.53","pending",
"13","149","3","4.57","pending",
"14","127","3","10.82","pending",
"14","180","1","5.10","pending",
"14","84","2","9.14","pending",
"14","125","1","9.80","pending",
"14","86","3","3.31","pending",
"15","5","2","4.14","pending",
"15","181","2","3.47","pending",
"16","44","1","5.54","pending",
"16","16","2","1.18","pending",
"16","179","1","3.05","pending",
"17","147","2","10.68","pending",
"18","155","3","10.09","pending",
"18","7","1","1.81","pending",
"18","49","3","9.73","pending",
"18","31","3","6.11","pending",
"18","95","2","1.04","pending",
"19","156","1","0.24","pending",
"19","48","1","1.61","pending",
"19","54","2","0.86","pending",
"20","6","2","8.54","pending",
"21","159","3","1.33","pending",
"21","18","2","3.09","pending",
"21","166","3","4.44","pending",
"21","112","1","2.07","pending",
"22","129","2","7.05","pending",
"22","153","2","1.89","pending",
"23","101","1","3.33","pending",
"24","92","2","7.72","pending",
"24","44","2","10.26","pending",
"24","197","1","0.86","pending",
"24","41","2","2.43","pending",
"24","136","1","4.15","pending",
"25","153","2","7.85","pending",
"25","45","3","0.60","pending",
"25","175","3","6.72","pending",
"25","131","2","4.83","pending",
"26","92","1","6.84","pending",
"27","65","3","2.71","pending",
"27","177","2","0.58","pending",
"27","190","2","1.42","pending",
"27","190","3","0.69","pending",
"28","72","1","2.30","pending",
"28","196","1","7.45","pending",
"28","157","3","4.86","pending",
"28","92","1","9.81","pending",
"28","159","1","2.91","pending",
"29","80","2","6.95","pending",
